quarter,industry1,industry2,occupation1,job_vacancy
1999-Q2,manufacturing,paper products and publishing,"professional, managers, executive and technicians",100
1999-Q2,manufacturing,paper products and publishing,"clerical, sales and services workers",100
1999-Q2,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",300
1999-Q2,manufacturing,petroleum and chemical products,total,300
1999-Q2,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",100
1999-Q2,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1999-Q2,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",100
1999-Q2,manufacturing,rubber and plastic products,total,400
1999-Q2,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
1999-Q2,manufacturing,rubber and plastic products,"clerical, sales and services workers",100
1999-Q2,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",300
1999-Q2,manufacturing,fabricated metal products,total,800
1999-Q2,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
1999-Q2,manufacturing,fabricated metal products,"clerical, sales and services workers",100
1999-Q2,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",600
1999-Q2,manufacturing,machinery and equipment,total,700
1999-Q2,manufacturing,machinery and equipment,"professional, managers, executive and technicians",200
1999-Q2,manufacturing,machinery and equipment,"clerical, sales and services workers",-
1999-Q2,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",400
1999-Q2,manufacturing,electrical products,total,100
1999-Q2,manufacturing,electrical products,"professional, managers, executive and technicians",-
1999-Q2,manufacturing,electrical products,"clerical, sales and services workers",-
1999-Q2,manufacturing,electrical products,"production and transport operators, cleaners and labourers",100
1999-Q2,manufacturing,electronic products,total,1900
1999-Q2,manufacturing,electronic products,"professional, managers, executive and technicians",800
1999-Q2,manufacturing,electronic products,"clerical, sales and services workers",100
1999-Q2,manufacturing,electronic products,"production and transport operators, cleaners and labourers",1000
1999-Q2,manufacturing,medical and precision instruments,total,200
1999-Q2,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
1999-Q2,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1999-Q2,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
1999-Q2,manufacturing,transport equipment,total,600
1999-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",200
1999-Q2,manufacturing,transport equipment,"clerical, sales and services workers",100
1999-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",400
1999-Q2,manufacturing,other manufacturing industries,total,100
1999-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1999-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1999-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",100
1999-Q2,construction,construction,total,1800
1999-Q2,construction,construction,"professional, managers, executive and technicians",200
1999-Q2,construction,construction,"clerical, sales and services workers",100
1999-Q2,construction,construction,"production and transport operators, cleaners and labourers",1600
1999-Q2,services,wholesale and retail trade,total,2700
1999-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",900
1999-Q2,services,wholesale and retail trade,"clerical, sales and services workers",1200
1999-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",600
1999-Q2,services,hotels and restaurants,total,1300
1999-Q2,services,hotels and restaurants,"professional, managers, executive and technicians",200
1999-Q2,services,hotels and restaurants,"clerical, sales and services workers",900
1999-Q2,services,hotels and restaurants,"production and transport operators, cleaners and labourers",200
1999-Q2,services,"transport, storage and communications",total,2000
1999-Q2,services,"transport, storage and communications","professional, managers, executive and technicians",600
1999-Q2,services,"transport, storage and communications","clerical, sales and services workers",1300
1999-Q2,services,"transport, storage and communications","production and transport operators, cleaners and labourers",100
1999-Q2,services,financial intermediation,total,1300
1999-Q2,services,financial intermediation,"professional, managers, executive and technicians",900
1999-Q2,services,financial intermediation,"clerical, sales and services workers",400
1999-Q2,services,financial intermediation,"production and transport operators, cleaners and labourers",-
1999-Q2,services,business and real estate services,total,1600
1999-Q2,services,business and real estate services,"professional, managers, executive and technicians",900
1999-Q2,services,business and real estate services,"clerical, sales and services workers",600
1999-Q2,services,business and real estate services,"production and transport operators, cleaners and labourers",100
1999-Q2,services,"community, social and personal services",total,2500
1999-Q2,services,"community, social and personal services","professional, managers, executive and technicians",1200
1999-Q2,services,"community, social and personal services","clerical, sales and services workers",1000
1999-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",300
1999-Q2,others,others,total,-
1999-Q2,others,others,"professional, managers, executive and technicians",-
1999-Q2,others,others,"clerical, sales and services workers",-
1999-Q2,others,others,"production and transport operators, cleaners and labourers",-
1999-Q3,total,total,total,25100
1999-Q3,total,total,"professional, managers, executive and technicians",8400
1999-Q3,total,total,"clerical, sales and services workers",7400
1999-Q3,total,total,"production and transport operators, cleaners and labourers",9300
