quarter,industry1,industry2,industry3,occupation1,resignation_rate
1998-Q4,construction,construction,construction,total,2.2
1998-Q4,construction,construction,construction,"professional, managers, executive and technicians",1.4
1998-Q4,construction,construction,construction,"clerical, sales and services workers",2.6
1998-Q4,construction,construction,construction,"production and transport operators, cleaners and labourers",2.3
1998-Q4,services,wholesale and retail trade,wholesale trade,total,1.5
1998-Q4,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",0.9
1998-Q4,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2.1
1998-Q4,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1.5
1998-Q4,services,wholesale and retail trade,retail trade,total,3.5
1998-Q4,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.1
1998-Q4,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",4.4
1998-Q4,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",1.9
1998-Q4,services,hotels and restaurants,hotels,total,1.5
1998-Q4,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",1.7
1998-Q4,services,hotels and restaurants,hotels,"clerical, sales and services workers",1.5
1998-Q4,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",1.1
1998-Q4,services,hotels and restaurants,restaurants,total,4.8
1998-Q4,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2.2
1998-Q4,services,hotels and restaurants,restaurants,"clerical, sales and services workers",5.5
1998-Q4,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",2.3
1998-Q4,services,"transport, storage and communications","transport, storage and communications",total,0.8
1998-Q4,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",0.5
1998-Q4,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",0.7
1998-Q4,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",1
1998-Q4,services,financial intermediation,financial institutions,total,0.8
1998-Q4,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",0.9
1998-Q4,services,financial intermediation,financial institutions,"clerical, sales and services workers",0.7
1998-Q4,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",1.8
1998-Q4,services,financial intermediation,insurance and pension funding,total,0.7
1998-Q4,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",0.8
1998-Q4,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",0.6
1998-Q4,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",0.9
1998-Q4,services,business and real estate services,business and real estate services,total,2.5
1998-Q4,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",1.6
1998-Q4,services,business and real estate services,business and real estate services,"clerical, sales and services workers",3.3
1998-Q4,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",3.2
1998-Q4,services,"community, social and personal services","community, social and personal services",total,1.5
1998-Q4,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",1.1
1998-Q4,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",1.9
1998-Q4,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",1.6
1998-Q4,others,others,others,total,1.3
1998-Q4,others,others,others,"professional, managers, executive and technicians",1.8
1998-Q4,others,others,others,"clerical, sales and services workers",1.5
1998-Q4,others,others,others,"production and transport operators, cleaners and labourers",1.2
1999-Q1,total,total,total,total,2
1999-Q1,total,total,total,"professional, managers, executive and technicians",1.3
1999-Q1,total,total,total,"clerical, sales and services workers",2.8
1999-Q1,total,total,total,"production and transport operators, cleaners and labourers",2.1
1999-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.6
1999-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",0.8
1999-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.8
1999-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.3
1999-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,total,1.8
1999-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",0.8
1999-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",1.7
1999-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",1.9
1999-Q1,manufacturing,paper products and publishing,paper products and publishing,total,1.7
1999-Q1,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",1.1
1999-Q1,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",1.3
